ID,Year,Latitude,Longitude,Subs,System,Taxon,Effect2,Study,n_subsidy,Subsidy_mean,Subsidy_sd,n_nosubsidy,Nosubsidy_mean,Nosubsidy_sd
Adams_et_al.2015Frontiers_in_Microbiology,2015,68.633333,-149.6,Nutrients,aquatic,other,dir,experimental,3,5.445629587,1.455725908,3,4.237474309,2.092605992
Adams_et_al.2015Frontiers_in_Microbiology,2015,68.633333,-149.6,Nutrients,aquatic,other,dir,experimental,3,4.025382574,0.606552462,3,3.254957475,0.283057816
Adams_et_al.2015Frontiers_in_Microbiology,2015,68.633333,-149.6,Nutrients,aquatic,other,dir,experimental,3,5.06916996,0.889986581,3,2.915019763,0.479223544
Adams_et_al.2015Frontiers_in_Microbiology,2015,68.633333,-149.6,Nutrients,aquatic,other,dir,experimental,3,7.529644269,1.523246263,3,3.883399209,0.599029429
Aristi_et_al2016Environmental_Pollution,2016,41.967303,2.84065,Nutrients,aquatic,other,dir,experimental,3,72.88732394,20.53252717,3,69.24882629,16.66997256
Aristi_et_al2016Environmental_Pollution,2016,41.967303,2.84065,Nutrients,aquatic,other,dir,experimental,3,76.17370892,5.692185753,3,69.24882629,16.66997256
Barrett_et_al.2005Oikos,2005,28.916667,-113.5,Marine_debris,terrestrial,vertebrate,asc,descriptive,2,78.1,29.4156421,2,24.9,7.14177849
Barrett_et_al.2005Oikos,2005,28.916667,-113.5,Seabird_derived,terrestrial,vertebrate,asc,descriptive,9,26.1,42.3,9,8.36,4.92
Bartels_et_al.2012Oecologia,2012,68.341944,19.156111,Nutrients,aquatic,other,dir,experimental,4,0.57,0.15,4,0.7,0.04
Bartels_et_al.2012Oecologia,2012,68.341944,19.156111,Nutrients,aquatic,other,dir,experimental,4,0.51,0.18,4,0.65,0.05
Bartels_et_al.2012Oecologia,2012,68.341944,19.156111,Nutrients,aquatic,other,dir,experimental,4,137.9,16.3,4,125.1,35.2
Bartels_et_al.2012Oecologia,2012,68.341944,19.156111,Nutrients,aquatic,other,dir,experimental,4,132.3,22.8,4,126.4,32
Bartels_et_al.2012Oecologia,2012,68.341944,19.156111,Nutrients,aquatic,other,dir,experimental,4,56.3,13.5,4,49.3,18.8
Bartels_et_al.2012Oecologia,2012,68.341944,19.156111,Nutrients,aquatic,other,dir,experimental,4,31.5,12.7,4,38.6,10.3
Bastow_et_al.2002,2002,39.77,-123.65,Algae,terrestrial,invertebrate,dir,descriptive,3,0.2173,0.2082,3,0.0707,0.1141
Bastow_et_al.2002,2002,39.77,-123.65,Algae,terrestrial,invertebrate,dir,descriptive,3,1.075,0.6041,3,0.0294,0.0336
Bastow_et_al.2002,2002,39.77,-123.65,Algae,terrestrial,invertebrate,dir,descriptive,3,1.154,0.8693,3,0.0191,0.0336
Bastow_et_al.2002,2002,39.77,-123.65,Algae,terrestrial,invertebrate,dir,descriptive,3,0.14,0.1386,3,0.02,0.0346
Bastow_et_al.2002,2002,39.77,-123.65,Algae,terrestrial,invertebrate,dir,descriptive,3,4.1,0.1559,3,0.05,0.052
Bastow_et_al.2002,2002,39.77,-123.65,Algae,terrestrial,invertebrate,dir,manipulative,6,35.96,24.4046,6,1.121,0.8355
Bastow_et_al.2002,2002,39.77,-123.65,Algae,terrestrial,invertebrate,dir,manipulative,6,1.498832796,0.716360461,6,1.042286651,0.417876936
Baxter_et_al.2004,2004,42.716667,141.6,Insects,terrestrial,invertebrate,dir,manipulative,4,0.1452,0.04,4,0.0252,0.0271
Benjamin_et_al.2011Oecologia,2011,40.7,-105.5,Insects,terrestrial,invertebrate,dir,descriptive,8,301.725,181.3275785,2,350,28.28427125
Benjamin_et_al.2011Oecologia,2011,43.7,-111.1,Insects,terrestrial,invertebrate,dir,descriptive,8,148.9875,195.7262442,2,58.9,139.3000359
Benjamin_et_al2013Freshwater_Biology,2013,43.65,-111.27,Insects,terrestrial,invertebrate,dir,manipulative,16,87,11.66666667,4,73,11
Bishop_and_Kelaher2013Ecology_and_Evolution,2013,-33.4925,151.260833,Plant_litter,terrestrial,invertebrate,dir,manipulative,7,44.14,3.42,7,29.2,7.22
Bishop_and_Kelaher2013Ecology_and_Evolution,2013,-33.4925,151.260833,Plant_litter,terrestrial,invertebrate,dir,manipulative,7,34.57,4.1,7,29.2,7.22
Bishop_and_Kelaher2013Ecology_and_Evolution,2013,-33.4925,151.260833,Plant_litter,terrestrial,invertebrate,dir,manipulative,42,3.448333333,1.005,42,1.72,0.8
